date,product,category,quantity,price,revenue,region,year,month,day_of_week
2024-01-15,Laptop,Electronics,5,999.99,4999.95,North,2024,1,Monday
2024-01-16,Mouse,Electronics,25,29.99,749.75,South,2024,1,Tuesday
2024-01-16,Keyboard,Electronics,15,79.99,1199.85,East,2024,1,Tuesday
2024-01-17,Monitor,Electronics,8,299.99,2399.92,West,2024,1,Wednesday
2024-01-18,Desk,Furniture,3,499.99,1499.97,North,2024,1,Thursday
2024-01-19,Chair,Furniture,12,199.99,2399.88,South,2024,1,Friday
2024-01-20,Lamp,Furniture,20,49.99,999.8,East,2024,1,Saturday
2024-01-21,Notebook,Supplies,100,4.99,499.0,West,2024,1,Sunday
2024-01-22,Pen,Supplies,200,1.99,398.0,North,2024,1,Monday
2024-01-23,Laptop,Electronics,7,999.99,6999.93,South,2024,1,Tuesday
2024-01-24,Mouse,Electronics,30,29.99,899.7,East,2024,1,Wednesday
2024-01-25,Keyboard,Electronics,18,79.99,1439.82,West,2024,1,Thursday
2024-01-26,Monitor,Electronics,10,299.99,2999.9,North,2024,1,Friday
2024-01-27,Desk,Furniture,5,499.99,2499.95,South,2024,1,Saturday
2024-01-28,Chair,Furniture,15,199.99,2999.85,East,2024,1,Sunday
2024-01-29,Lamp,Furniture,25,49.99,1249.75,West,2024,1,Monday
2024-01-30,Notebook,Supplies,120,4.99,598.8,North,2024,1,Tuesday
2024-01-31,Pen,Supplies,250,1.99,497.5,South,2024,1,Wednesday
2024-02-01,Laptop,Electronics,6,999.99,5999.94,East,2024,2,Thursday
2024-02-02,Mouse,Electronics,28,29.99,839.72,West,2024,2,Friday
2024-02-03,Keyboard,Electronics,16,79.99,1279.84,North,2024,2,Saturday
2024-02-04,Monitor,Electronics,9,299.99,2699.91,South,2024,2,Sunday
2024-02-05,Desk,Furniture,4,499.99,1999.96,East,2024,2,Monday
2024-02-06,Chair,Furniture,13,199.99,2599.87,West,2024,2,Tuesday
2024-02-07,Lamp,Furniture,22,49.99,1099.78,North,2024,2,Wednesday
2024-02-08,Notebook,Supplies,110,4.99,548.9,South,2024,2,Thursday
2024-02-09,Pen,Supplies,220,1.99,437.8,East,2024,2,Friday
2024-02-10,Laptop,Electronics,8,999.99,7999.92,West,2024,2,Saturday
